"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,"Steven","King","SKING","1.515.555.0100",17-JUN-13,"AD_PRES",24000,,,90
101,"Neena","Yang","NYANG","1.515.555.0101",21-SEP-15,"AD_VP",17000,,100,90
102,"Lex","Garcia","LGARCIA","1.515.555.0102",13-JAN-11,"AD_VP",17000,,100,90
103,"Alexander","James","AJAMES","1.590.555.0103",03-JAN-16,"IT_PROG",9000,,102,60
104,"Bruce","Miller","BMILLER","1.590.555.0104",21-MAY-17,"IT_PROG",6000,,103,60
105,"David","Williams","DWILLIAMS","1.590.555.0105",25-JUN-15,"IT_PROG",4800,,103,60
106,"Valli","Jackson","VJACKSON","1.590.555.0106",05-FEB-16,"IT_PROG",4800,,103,60
107,"Diana","Nguyen","DNGUYEN","1.590.555.0107",07-FEB-17,"IT_PROG",4200,,103,60
108,"Nancy","Gruenberg","NGRUENBE","1.515.555.0108",17-AUG-12,"FI_MGR",12008,,101,100
109,"Daniel","Faviet","DFAVIET","1.515.555.0109",16-AUG-12,"FI_ACCOUNT",9000,,108,100
110,"John","Chen","JCHEN","1.515.555.0110",28-SEP-15,"FI_ACCOUNT",8200,,108,100
111,"Ismael","Sciarra","ISCIARRA","1.515.555.0111",30-SEP-15,"FI_ACCOUNT",7700,,108,100
112,"Jose Manuel","Urman","JMURMAN","1.515.555.0112",07-MAR-16,"FI_ACCOUNT",7800,,108,100
113,"Luis","Popp","LPOPP","1.515.555.0113",07-DEC-17,"FI_ACCOUNT",6900,,108,100
114,"Den","Li","DLI","1.515.555.0114",07-DEC-12,"PU_MAN",11000,,100,30
115,"Alexander","Khoo","AKHOO","1.515.555.0115",18-MAY-13,"PU_CLERK",3100,,114,30
116,"Shelli","Baida","SBAIDA","1.515.555.0116",24-DEC-15,"PU_CLERK",2900,,114,30
117,"Sigal","Tobias","STOBIAS","1.515.555.0117",24-JUL-15,"PU_CLERK",2800,,114,30
118,"Guy","Himuro","GHIMURO","1.515.555.0118",15-NOV-16,"PU_CLERK",2600,,114,30
119,"Karen","Colmenares","KCOLMENA","1.515.555.0119",10-AUG-17,"PU_CLERK",2500,,114,30
120,"Matthew","Weiss","MWEISS","1.650.555.0120",18-JUL-14,"ST_MAN",8000,,100,50
121,"Adam","Fripp","AFRIPP","1.650.555.0121",10-APR-15,"ST_MAN",8200,,100,50
122,"Payam","Kaufling","PKAUFLIN","1.650.555.0122",01-MAY-13,"ST_MAN",7900,,100,50
123,"Shanta","Vollman","SVOLLMAN","1.650.555.0123",10-OCT-15,"ST_MAN",6500,,100,50
124,"Kevin","Mourgos","KMOURGOS","1.650.555.0124",16-NOV-17,"ST_MAN",5800,,100,50
125,"Julia","Nayer","JNAYER","1.650.555.0125",16-JUL-15,"ST_CLERK",3200,,120,50
126,"Irene","Mikkilineni","IMIKKILI","1.650.555.0126",28-SEP-16,"ST_CLERK",2700,,120,50
127,"James","Landry","JLANDRY","1.650.555.0127",14-JAN-17,"ST_CLERK",2400,,120,50
128,"Steven","Markle","SMARKLE","1.650.555.0128",08-MAR-18,"ST_CLERK",2200,,120,50
129,"Laura","Bissot","LBISSOT","1.650.555.0129",20-AUG-15,"ST_CLERK",3300,,121,50
130,"Mozhe","Atkinson","MATKINSO","1.650.555.0130",30-OCT-15,"ST_CLERK",2800,,121,50
131,"James","Marlow","JAMRLOW","1.650.555.0131",16-FEB-15,"ST_CLERK",2500,,121,50
132,"TJ","Olson","TJOLSON","1.650.555.0132",10-APR-17,"ST_CLERK",2100,,121,50
133,"Jason","Mallin","JMALLIN","1.650.555.0133",14-JUN-14,"ST_CLERK",3300,,122,50
134,"Michael","Rogers","MROGERS","1.650.555.0134",26-AUG-16,"ST_CLERK",2900,,122,50
135,"Ki","Gee","KGEE","1.650.555.0135",12-DEC-17,"ST_CLERK",2400,,122,50
136,"Hazel","Philtanker","HPHILTAN","1.650.555.0136",06-FEB-18,"ST_CLERK",2200,,122,50
137,"Renske","Ladwig","RLADWIG","1.650.555.0137",14-JUL-13,"ST_CLERK",3600,,123,50
138,"Stephen","Stiles","SSTILES","1.650.555.0138",26-OCT-15,"ST_CLERK",3200,,123,50
139,"John","Seo","JSEO","1.650.555.0139",12-FEB-16,"ST_CLERK",2700,,123,50
